,Numero_compentencia,Posicion_general,Posicion_grupo,Tiempo_carrera,Tiempo_Chip,Categorial,Genero
0,1,59,7,00:38:17,00:38:17,Elite,Femenino
1,2,146,8,00:42:10,00:42:08,Elite,Femenino
2,3,8524,10,DNS,DNS,Elite,Femenino
3,4,30,2,00:35:35,00:35:35,Elite,Femenino
4,5,8525,11,DNS,DNS,Elite,Femenino
5,6,28,1,00:35:29,00:35:29,Elite,Femenino
6,7,46,6,00:36:54,00:36:52,Elite,Femenino
7,8,34,3,00:35:51,00:35:50,Elite,Femenino
8,9,43,5,00:36:40,00:36:39,Elite,Femenino
9,10,37,4,00:36:23,00:36:21,Elite,Femenino
10,11,4353,9,01:11:54,01:11:53,Elite,Femenino
11,15,16,12,00:33:25,00:33:24,Elite,Masculino
12,16,10,9,00:32:41,00:32:41,Elite,Masculino
13,17,4,4,00:31:32,00:31:31,Elite,Masculino
14,18,1,1,00:30:35,00:30:35,Elite,Masculino
15,19,0,0,DNS,DNS,Elite,Masculino
16,20,0,0,DNS,DNS,Elite,Masculino
17,21,55,17,00:37:58,00:37:57,Elite,Masculino
18,22,0,0,DNF,DNF,Elite,Masculino
19,23,38,16,00:36:24,00:36:23,Elite,Masculino
20,24,20,14,00:33:54,00:33:53,Elite,Masculino
21,25,0,0,DNS,DNS,Elite,Masculino
22,26,9,8,00:32:36,00:32:35,Elite,Masculino
23,27,8,7,00:32:23,00:32:22,Elite,Masculino
24,28,11,10,00:32:45,00:32:44,Elite,Masculino
25,29,22,15,00:33:57,00:33:56,Elite,Masculino
26,30,7,6,00:32:20,00:32:19,Elite,Masculino
27,31,2,2,00:30:51,00:30:50,Elite,Masculino
28,32,5,5,00:31:58,00:31:57,Elite,Masculino
29,33,3,3,00:31:12,00:31:12,Elite,Masculino
30,34,0,0,DNF,DNF,Elite,Masculino
31,35,0,0,DNS,DNS,Elite,Masculino
32,36,418,19,00:47:09,00:47:09,Elite,Masculino
33,37,15,11,00:33:13,00:33:13,Elite,Masculino
34,38,60,18,00:38:23,00:38:22,Elite,Masculino
35,39,19,13,00:33:49,00:33:48,Elite,Masculino
36,40,0,0,DNS,DNS,Elite,Masculino
37,100,8538,1097,DNS,DNS,Master,Masculino
38,101,3314,1621,01:06:26,00:53:42,Abierta,Masculino
39,102,730,415,00:50:17,00:49:33,Abierta,Masculino
40,103,1486,296,00:56:05,00:54:34,Master,Masculino
41,104,4217,1981,01:11:09,00:58:36,Abierta,Masculino
42,105,191,114,00:43:15,00:42:18,Abierta,Masculino
43,106,3616,506,01:07:57,01:03:35,Plus,Masculino
44,107,2752,386,01:03:18,01:00:24,Plus,Masculino
