,Numero_compentencia,Posicion_general,Posicion_grupo,Tiempo_carrera,Tiempo_chip,Categoria,Genero
0,8001,7664,1050,01:33:26,01:19:28,Master,Masculino
1,8002,5499,1110,01:17:36,01:05:54,Abierta,Femenino
2,8003,7920,2995,01:36:42,01:36:26,Abierta,Masculino
3,8004,128,71,00:41:48,00:41:13,Abierta,Masculino
4,8005,3851,571,01:09:04,01:02:57,Abierta,Femenino
5,8006,3790,554,01:08:50,01:06:18,Abierta,Femenino
6,8007,1712,141,00:57:29,00:55:09,Abierta,Femenino
7,8008,1055,586,00:53:08,00:50:47,Abierta,Masculino
8,8009,7102,1826,01:27:42,01:21:02,Abierta,Femenino
9,8010,5793,1228,01:19:20,01:08:01,Abierta,Femenino
10,8011,1139,629,00:53:44,00:51:41,Abierta,Masculino
11,8012,3084,1524,01:05:08,01:04:33,Abierta,Masculino
12,8013,2187,210,01:00:18,00:58:26,Abierta,Femenino
13,8014,8243,2369,01:43:26,01:29:50,Abierta,Femenino
14,8015,3951,1880,01:09:34,00:55:03,Abierta,Masculino
15,8016,2991,1490,01:04:36,01:01:53,Abierta,Masculino
16,8017,7921,2996,01:36:44,01:36:27,Abierta,Masculino
17,8018,6313,1440,01:22:17,01:10:52,Abierta,Femenino
18,8019,428,46,00:47:15,00:46:37,Plus,Masculino
19,8020,3406,1664,01:06:56,01:00:51,Abierta,Masculino
20,8021,4887,225,01:14:20,01:06:40,Master,Femenino
21,8022,6065,1325,01:20:56,01:16:29,Abierta,Femenino
22,8023,173,102,00:42:55,00:41:14,Abierta,Masculino
23,8024,1913,992,00:58:32,00:55:56,Abierta,Masculino
24,8025,1372,746,00:55:24,00:51:54,Abierta,Masculino
25,8026,203,123,00:43:36,00:42:54,Abierta,Masculino
26,8027,7154,1854,01:28:10,01:18:14,Abierta,Femenino
27,8028,263,155,00:44:49,00:44:40,Abierta,Masculino
28,8029,1046,581,00:53:02,00:52:33,Abierta,Masculino
29,8030,0,0,DSQ,DSQ,Sin Datos,Sin Datos
30,8031,7810,1063,01:35:13,01:31:57,Master,Masculino
31,8032,3277,457,01:06:13,01:02:57,Plus,Masculino
32,8034,4786,212,01:13:56,01:07:40,Master,Femenino
33,8035,2291,1171,01:00:53,00:58:52,Abierta,Masculino
34,8036,4651,639,01:13:15,01:10:12,Plus,Masculino
35,8037,4479,188,01:12:26,01:12:15,Master,Femenino
36,8038,5088,105,01:15:19,01:06:03,Plus,Femenino
37,8039,959,533,00:52:23,00:52:12,Abierta,Masculino
38,8040,1442,777,00:55:50,00:54:56,Abierta,Masculino
39,8041,4822,218,01:14:04,01:06:16,Master,Femenino
40,8042,2811,1420,01:03:38,00:59:30,Abierta,Masculino
41,8043,7165,1858,01:28:19,01:17:06,Abierta,Femenino
42,8044,1697,140,00:57:21,00:56:29,Abierta,Femenino
43,8045,659,377,00:49:43,00:48:30,Abierta,Masculino
44,8046,373,217,00:46:32,00:45:46,Abierta,Masculino
45,8047,2039,1056,00:59:18,00:55:29,Abierta,Masculino
46,8048,1220,669,00:54:18,00:53:52,Abierta,Masculino
47,8049,2470,1259,01:01:50,01:01:26,Abierta,Masculino
48,8050,589,7,00:49:07,00:46:37,Master,Femenino
49,8051,6403,155,01:22:52,01:09:42,Plus,Femenino
50,8052,6064,1324,01:20:55,01:07:45,Abierta,Femenino
51,8053,3316,112,01:06:26,01:04:31,Master,Femenino
52,8054,7364,199,01:30:00,01:25:20,Plus,Femenino
53,8055,341,194,00:45:58,00:45:30,Abierta,Masculino
54,8056,1594,843,00:56:51,00:53:23,Abierta,Masculino
55,8057,1831,262,00:58:06,00:57:20,Plus,Masculino
56,8058,4650,789,01:13:15,01:03:28,Abierta,Femenino
